cod_cia,periodo,cod_subramo,primas_emitidas,primas_devengadas,siniestros_devengados,gastos_totales_devengados
0007,202204,1.100.99,3709148.0,3375788.0,-150604.0,1114135.0
0007,202204,1.150.99,0.0,0.0,-2614.0,0.0
0007,202204,1.160.99,0.0,10609.0,-117461.0,0.0
0007,202204,1.180.02,0.0,0.0,-146.0,0.0
0007,202204,2.010.02,-302.0,102881.0,371.0,14939.0
0007,202204,2.030.02,56976251.0,56922255.0,3615222.0,26055428.0
0007,202204,2.030.04,0.0,0.0,0.0,0.0
0007,202204,2.050.02,105505445.0,105419167.0,15699695.0,37582206.0
0007,202204,3.000.99,0.0,0.0,0.0,0.0
0007,202301,1.010.99,73116166.0,36290459.0,158445.0,16743585.0
0007,202301,1.020.01,3853415.0,3352337.0,318261.0,12937794.0
0007,202301,1.020.02,17899833.0,15189485.0,0.0,4912742.0
0007,202301,1.030.01,80721856.0,84917565.0,5926753.0,31164981.0
0007,202301,1.030.02,7513763.0,6935795.0,-3574235.0,4180368.0
0007,202301,1.080.02,34671132.0,33188612.0,-7395661.0,8267913.0
0007,202301,1.080.99,3814707.0,4535540.0,-15563486.0,3401939.0
0007,202301,1.090.99,2499.0,2065.0,-73.0,582.0
0007,202301,1.100.99,4582557.0,4158966.0,-228080.0,1997957.0
0007,202301,1.150.99,0.0,0.0,-3556.0,0.0
0007,202301,1.160.99,0.0,19435.0,-189716.0,0.0
0007,202301,1.180.02,0.0,0.0,-177.0,0.0
0007,202301,2.010.02,-368.0,188354.0,-5619.0,18171.0
0007,202301,2.030.02,115581408.0,115330493.0,8810647.0,46310776.0
0007,202301,2.030.04,0.0,0.0,0.0,0.0
0007,202301,2.050.02,208244087.0,207816371.0,30399291.0,66584466.0
0007,202301,3.000.99,0.0,0.0,0.0,0.0
0025,202202,1.010.99,2882167066.0,700274972.0,100891012.0,264840469.0
0025,202202,1.020.01,1526964555.0,1502196030.0,426675533.0,990802675.0
0025,202202,1.020.02,1819303258.0,1629414854.0,495607186.0,478708607.0
0025,202202,1.030.01,9332137642.0,9882065698.0,4223091424.0,4891810237.0
0025,202202,1.030.02,5621337018.0,5254593158.0,5246695138.0,1078544642.0
0025,202202,1.030.03,0.0,0.0,13310785.0,0.0
0025,202202,1.070.01,1913334088.0,743324016.0,559990679.0,174177215.0
0025,202202,1.080.02,48482703.0,4263282.0,-58084394.0,9495454.0
0025,202202,1.080.99,1089207906.0,835998793.0,534629371.0,387889183.0
0025,202202,1.090.99,76096776.0,29034793.0,4074940.0,14998777.0
0025,202202,1.100.99,0.0,76834044.0,-44638527.0,0.0
0025,202202,1.140.99,526288375.0,271701556.0,38238361.0,91178014.0
0025,202202,1.150.99,1623589844.0,1243333230.0,241399253.0,572502507.0
0025,202202,1.160.99,1132928763.0,938806874.0,128805376.0,363449930.0
0025,202202,1.170.02,147909.0,151096.0,7760.0,81096.0
0025,202202,1.170.03,3788447298.0,3481346767.0,168056429.0,3035115731.0
0025,202202,1.180.01,152428993.0,144386683.0,119828724.0,116262028.0
0025,202202,1.180.02,157175815.0,151952451.0,23660551.0,44783944.0
0025,202202,2.010.01,1475326457.0,1490870702.0,140018593.0,778400259.0
0025,202202,2.010.02,77022772.0,76192171.0,7603042.0,378349605.0
0025,202202,2.020.01,0.0,-24793732.0,962146.0,51712263.0
0025,202202,2.020.02,99314947.0,74349366.0,969007.0,52180518.0
0025,202202,2.030.01,751573985.0,791440195.0,10735281.0,318635483.0
0025,202202,2.030.02,1284600659.0,1026290027.0,126701740.0,844558695.0
0025,202202,2.030.04,0.0,0.0,0.0,1250373.0
0025,202203,1.010.99,1020621188.0,202824379.0,109505377.0,80216627.0
0025,202203,1.020.01,488623623.0,435391230.0,136982948.0,328913429.0
0025,202203,1.020.02,680025087.0,482840834.0,11880598.0,178111874.0
0025,202203,1.030.01,2902593394.0,3048270768.0,508630321.0,1519381432.0
0025,202203,1.030.02,1400582706.0,1402346144.0,1363557634.0,281822662.0
0025,202203,1.030.03,0.0,0.0,-3700531.0,0.0
0025,202203,1.070.01,299897618.0,60181594.0,26635873.0,56600756.0
0025,202203,1.080.02,15476121.0,18891736.0,12524409.0,790451.0
0025,202203,1.080.99,270073017.0,226209114.0,-35423557.0,125373206.0
0025,202203,1.090.99,7843206.0,10242916.0,131183.0,4360728.0
0025,202203,1.100.99,0.0,0.0,-19678900.0,0.0
0025,202203,1.140.99,249853835.0,84277046.0,44495413.0,31932989.0
0025,202203,1.150.99,435060179.0,356837320.0,96556425.0,158735074.0
0025,202203,1.160.99,392476150.0,306294982.0,90442155.0,118127518.0
0025,202203,1.170.02,43732.0,63547264.0,4900.0,9229.0
0025,202203,1.170.03,1691861157.0,1105320885.0,28212719.0,1015722440.0
0025,202203,1.180.01,44802773.0,14425017.0,58788213.0,37980320.0
0025,202203,1.180.02,34697543.0,34692151.0,11581922.0,8995693.0
0025,202203,2.010.01,501828237.0,483370391.0,-5874023.0,259710210.0
0025,202203,2.010.02,26289638.0,23359996.0,1906137.0,130619528.0
0025,202203,2.020.01,0.0,101979891.0,271006.0,9778784.0
0025,202203,2.020.02,44236877.0,30249194.0,675746.0,27190240.0
0025,202203,2.030.01,266333751.0,280091695.0,7688679.0,124251861.0
0025,202203,2.030.02,498714759.0,482680359.0,25168576.0,330615887.0
0025,202203,2.030.04,0.0,0.0,0.0,414343.0
0025,202204,1.010.99,2608394782.0,485803267.0,265288935.0,185132027.0
0025,202204,1.020.01,1158314723.0,1087074445.0,313709634.0,797877122.0
0025,202204,1.020.02,1581734325.0,1220791699.0,219532575.0,416204278.0
0025,202204,1.030.01,6930644657.0,7383064836.0,1508300476.0,3716855025.0
0025,202204,1.030.02,3203402483.0,3120555844.0,3344602873.0,635046592.0
0025,202204,1.030.03,0.0,0.0,-6261077.0,0.0
0025,202204,1.070.01,1905790084.0,123973940.0,565179629.0,107370015.0
0025,202204,1.080.02,32814481.0,23103305.0,65672.0,487037.0
0025,202204,1.080.99,677563539.0,554196251.0,139638174.0,305791638.0
0025,202204,1.090.99,72121447.0,21963370.0,300953.0,9462536.0
0025,202204,1.100.99,0.0,0.0,-38003921.0,0.0
0025,202204,1.130.99,0.0,0.0,0.0,0.0
0025,202204,1.140.99,464533763.0,197131906.0,66233509.0,88169700.0
0025,202204,1.150.99,1088469488.0,923963892.0,214063039.0,422063871.0
0025,202204,1.160.99,1017893426.0,695705685.0,135323643.0,259147481.0
0025,202204,1.170.02,35986.0,90557443.0,5747.0,6632.0
0025,202204,1.170.03,3385922234.0,2725492712.0,67762516.0,2362273564.0
0025,202204,1.180.01,107689906.0,52908999.0,144370881.0,91560700.0
0025,202204,1.180.02,76625769.0,76396562.0,32894152.0,18828970.0
0025,202204,2.010.01,1036858784.0,1105402196.0,51377991.0,581949493.0
0025,202204,2.010.02,66686151.0,58365799.0,10116569.0,322587913.0
0025,202204,2.020.01,0.0,134077441.0,629336.0,21410658.0
0025,202204,2.020.02,94499795.0,71304172.0,3917546.0,60834479.0
0025,202204,2.030.01,575765782.0,626805852.0,7081780.0,304966434.0
0025,202204,2.030.02,978110269.0,955167780.0,35965328.0,703170265.0
0025,202204,2.030.04,0.0,0.0,0.0,915374.0
0025,202301,1.010.99,3696935792.0,838517328.0,461870107.0,381388233.0
0025,202301,1.020.01,2103205021.0,1969329070.0,567773308.0,1419155677.0
0025,202301,1.020.02,2665057764.0,2175908927.0,432511351.0,715827869.0
0025,202301,1.030.01,12422578943.0,13349216400.0,3032379967.0,6680920364.0
0025,202301,1.030.02,5944044267.0,5642904763.0,5689796019.0,1150409731.0
0025,202301,1.030.03,0.0,0.0,-19166947.0,0.0
0025,202301,1.070.01,2533612074.0,472331107.0,901221721.0,209597762.0
0025,202301,1.080.02,49554381.0,30293036.0,-30365355.0,3096337.0
0025,202301,1.080.99,1132401412.0,964796243.0,23173277.0,532079760.0
0025,202301,1.090.99,73262751.0,29091971.0,-957874.0,12619558.0
0025,202301,1.100.99,0.0,0.0,-65268602.0,0.0
0025,202301,1.130.99,0.0,0.0,0.0,0.0
0025,202301,1.140.99,659243908.0,344977532.0,178736772.0,143040076.0
0025,202301,1.150.99,2030964860.0,1681099360.0,440986475.0,723817532.0
0025,202301,1.160.99,1583007918.0,1071652858.0,360117890.0,442633566.0
0025,202301,1.170.02,43807.0,130362909.0,6996.0,8163.0
0025,202301,1.170.03,6252874339.0,5030052878.0,96266904.0,4357935303.0
0025,202301,1.180.01,214357029.0,104746439.0,262552823.0,167129572.0
0025,202301,1.180.02,134644800.0,132495558.0,59989828.0,37965006.0
0025,202301,2.010.01,2032242672.0,2027808200.0,135851398.0,1058578774.0
0025,202301,2.010.02,153587796.0,121427704.0,10078922.0,586066075.0
0025,202301,2.020.01,0.0,188371591.0,661599.0,40118964.0
0025,202301,2.020.02,168400172.0,133775247.0,4861267.0,101640129.0
0025,202301,2.030.01,1243444376.0,1154730612.0,16523127.0,571461036.0
0025,202301,2.030.02,1664490404.0,1576078125.0,59785029.0,1203085822.0
0025,202301,2.030.04,0.0,0.0,0.0,1536123.0
0032,202202,1.010.99,551880083.0,450600217.0,61819350.0,237841395.0
0032,202202,1.020.01,231729608.0,211942607.0,125479834.0,87600991.0
0032,202202,1.020.02,168636786.0,160401471.0,62814118.0,72833288.0
0032,202202,1.020.99,91153678.0,91822323.0,25034660.0,59474051.0
0032,202202,1.030.01,4424699327.0,3536969895.0,1543470407.0,1640728679.0
0032,202202,1.030.02,1259505506.0,1240452423.0,947241112.0,1038669133.0
0032,202202,1.050.01,0.0,0.0,-95044.0,0.0
0032,202202,1.050.99,0.0,0.0,44570.0,233894.0
0032,202202,1.070.01,26856617.0,2352275.0,1246294.0,-431286.0
0032,202202,1.080.99,307905010.0,218989816.0,87282374.0,102393110.0
0032,202202,1.090.99,25520920.0,21051474.0,1317984.0,9388013.0
0032,202202,1.100.01,26555396.0,58284541.0,0.0,32592.0
0032,202202,1.100.99,89136196.0,4103745.0,-1838600.0,33191543.0
0032,202202,1.130.99,287408303.0,65812826.0,-2351294.0,75516654.0
0032,202202,1.140.99,122590199.0,38456567.0,-3269415.0,34985842.0
0032,202202,1.150.99,72120708.0,24358523.0,1247768.0,15671068.0
0032,202202,1.160.99,208984726.0,68114054.0,36626810.0,49504195.0
0032,202202,1.170.02,336594.0,289334.0,72328.0,63064.0
0032,202202,1.170.03,6795061.0,5309094.0,3589637.0,3326137.0
0032,202202,1.180.01,13088731.0,11736909.0,2374996.0,34994285.0
0032,202202,1.180.02,31324813.0,33020194.0,-3342049.0,21391786.0
0032,202202,1.180.03,0.0,0.0,0.0,8059.0
0032,202202,2.010.01,24601688.0,24002041.0,-7258371.0,23289478.0
0032,202202,2.010.02,57481223.0,58458124.0,12118417.0,31874446.0
0032,202202,2.030.01,12219.0,11968.0,22097517.0,258081.0
0032,202202,2.030.02,312306714.0,315464226.0,-13471275.0,105678281.0
0032,202202,2.030.04,0.0,0.0,0.0,0.0
0032,202202,2.030.05,1468629.0,1414974.0,35511655.0,248271.0
0032,202202,2.050.01,117313.0,117313.0,11246.0,414.0
0032,202202,2.050.02,390523.0,577838.0,332766.0,257230.0
0032,202203,1.010.99,77998798.0,49158568.0,-31134941.0,187353830.0
0032,202203,1.020.01,56416591.0,29031335.0,50889783.0,67245324.0
0032,202203,1.020.02,50595897.0,30605322.0,5478796.0,32323796.0
0032,202203,1.020.99,12375937.0,7396962.0,5192413.0,16033977.0
